episode,reward,length,success,collisions,battery,epsilon
1,-157.0999999999994,300,0,28,300.0,1.0
2,-215.5999999999989,300,0,42,300.0,0.999
3,-166.59999999999928,300,0,32,300.0,0.998001
4,-78.39999999999995,300,0,14,300.0,0.997002999
5,-176.69999999999936,300,0,32,300.0,0.996005996001
6,-245.29999999999873,300,0,46,300.0,0.995009990004999
7,-264.89999999999935,300,0,50,300.0,0.994014980014994
8,-186.49999999999886,300,0,34,300.0,0.993020965034979
9,-313.90000000000134,300,0,60,300.0,0.9920279440699441
10,-78.39999999999975,300,0,14,300.0,0.9910359161258742
11,-107.79999999999905,300,0,20,300.0,0.9900448802097482
12,-206.09999999999923,300,0,38,300.0,0.9890548353295385
13,-220.79999999999885,300,0,41,300.0,0.988065780494209
14,-176.6999999999993,300,0,32,300.0,0.9870777147137147
15,-122.79999999999973,300,0,21,300.0,0.986090636999001
16,-215.89999999999924,300,0,40,300.0,0.9851045463620021
17,-319.0999999999997,300,0,59,300.0,0.98411944181564
18,-103.19999999999936,300,0,17,300.0,0.9831353223738244
19,-284.50000000000045,300,0,54,300.0,0.9821521870514506
20,-161.9999999999989,300,0,29,300.0,0.9811700348643991
21,-191.39999999999898,300,0,35,300.0,0.9801888648295347
22,-328.29999999999967,300,0,65,300.0,0.9792086759647052
23,-93.39999999999935,300,0,15,300.0,0.9782294672887405
24,-210.99999999999903,300,0,39,300.0,0.9772512378214517
25,-200.59999999999894,300,0,41,300.0,0.9762739865836303
26,-176.69999999999862,300,0,32,300.0,0.9752977125970467
27,-156.7999999999989,300,0,30,300.0,0.9743224148844496
28,-215.899999999999,300,0,40,300.0,0.9733480924695651
29,-289.7000000000006,300,0,53,300.0,0.9723747443770956
30,-186.4999999999991,300,0,34,300.0,0.9714023696327185
31,-122.19999999999906,300,0,25,300.0,0.9704309672630859
32,-205.79999999999887,300,0,40,300.0,0.9694605362958227
33,-156.49999999999878,300,0,32,300.0,0.9684910757595269
34,-166.89999999999955,300,0,30,300.0,0.9675225846837673
35,-161.69999999999897,300,0,31,300.0,0.9665550620990835
36,-323.7000000000014,300,0,62,300.0,0.9655885070369844
37,-146.99999999999898,300,0,28,300.0,0.9646229185299474
38,-142.09999999999917,300,0,27,300.0,0.9636582956114175
39,-200.59999999999877,300,0,41,300.0,0.9626946373158061
40,-343.30000000000064,300,0,66,300.0,0.9617319426784903
41,-195.99999999999864,300,0,38,300.0,0.9607702107358118
42,-230.59999999999923,300,0,43,300.0,0.959809440525076
43,-63.40000000000022,300,0,13,300.0,0.9588496310845509
44,-93.09999999999924,300,0,17,300.0,0.9578907814534664
45,-201.19999999999948,300,0,37,300.0,0.9569328906720129
46,-102.89999999999944,300,0,19,300.0,0.9559759577813409
47,-220.7999999999989,300,0,41,300.0,0.9550199818235596
48,-147.29999999999987,300,0,26,300.0,0.9540649618417361
49,-142.39999999999932,300,0,25,300.0,0.9531108968798944
50,-147.29999999999927,300,0,26,300.0,0.9521577859830145
51,-127.69999999999882,300,0,22,300.0,0.9512056281970315
52,-97.99999999999973,300,0,18,300.0,0.9502544225688344
53,-264.8999999999997,300,0,50,300.0,0.9493041681462656
54,-152.1999999999997,300,0,27,300.0,0.9483548639781193
55,-127.69999999999928,300,0,22,300.0,0.9474065091141411
56,-122.79999999999936,300,0,21,300.0,0.946459102605027
57,-92.79999999999998,300,0,19,300.0,0.9455126435024219
58,-181.29999999999902,300,0,35,300.0,0.9445671308589195
59,-240.39999999999884,300,0,45,300.0,0.9436225637280606
60,-132.29999999999876,300,0,25,300.0,0.9426789411643326
61,-299.1999999999996,300,0,57,300.0,0.9417362622231683
