step,row,col
0,0,2
1,1,2
2,2,2
3,3,2
4,3,3
5,4,3
6,5,3
7,6,3
8,7,3
9,8,3
10,9,3
11,10,3
12,11,3
13,12,3
14,12,2
15,13,2
16,13,1
17,14,1
18,15,1
19,16,1
20,17,1
21,18,1
22,19,1
23,19,0
24,19,1
25,18,1
26,17,1
27,17,2
28,17,3
29,17,4
30,17,5
31,17,6
32,18,6
33,18,7
34,18,8
35,19,8
36,18,8
37,18,9
38,17,9
39,17,10
40,16,10
41,15,10
42,14,10
43,13,10
44,13,11
45,13,12
46,12,12
47,12,13
48,11,13
49,11,14
50,10,14
51,10,15
52,9,15
53,10,15
54,11,15
55,11,14
56,12,14
57,12,13
58,13,13
59,13,12
60,14,12
61,14,11
62,15,11
63,15,10
